headword,CEFR,freq,len,syl
equal,B2,4.65,5,2
equal,B2,4.65,5,2
equality,B1,4.26,8,4
equally,B1,4.39,7,3
equation,B2,4.02,8,3
equip,B2,3.5,5,2
equipment,B1,4.88,9,3
equity,B2,4.3,6,3
era,B1,4.67,3,2
erect,B2,3.52,5,2
error,A2,4.55,5,2
erupt,B2,2.97,5,2
eruption,B2,3.52,8,3
escalator,A2,3.02,9,4
escape,A2,4.64,6,2
escape,B1,4.64,6,2
especially,A2,5.21,10,3
essay,A2,4.23,5,2
essayist,B2,2.66,8,3
essence,B1,4.03,7,2
essential,B1,4.61,9,3
essentially,B2,4.42,11,4
establish,A2,4.46,9,3
establishment,B1,4.42,13,4
estate,B2,4.82,6,2
estimate,B2,4.29,8,3
estimate,B1,4.29,8,3
estimated,B2,4.62,9,4
eternal,B1,4.11,7,3
eternally,B2,3.26,9,4
eternity,B1,3.8,8,4
ethic,B2,3.54,5,2
ethnic,B2,4.33,6,2
euro,A2,4.09,4,2
evacuate,B2,3.53,8,4
evacuation,B2,3.74,10,5
evaluate,B2,4.01,8,4
evaluation,B2,4.21,10,5
even,B1,5.99,4,2
even,A2,5.99,4,2
evening,A1,4.86,7,2
evenly,B1,3.65,6,3
event,A1,5.18,5,2
eventually,B1,4.88,10,5
ever,A2,5.66,4,2
everlasting,B2,3.44,11,4
every,A1,5.79,5,3
everybody,A1,4.84,9,4
everyday,A1,4.47,8,3
everyone,A1,5.47,8,3
everything,A1,5.54,10,3
everywhere,A1,4.66,10,3
evidence,A2,5.14,8,3
evident,B1,3.99,7,3
evidently,B2,3.6,9,4
evil,B2,4.74,4,2
evil,B2,4.74,4,2
evolution,B2,4.41,9,4
evolve,B2,3.8,6,2
exact,B1,4.51,5,2
exactly,A2,5.15,7,3
exactness,B2,1.99,9,3
exaggeration,B2,3.3,12,5
exalt,B2,2.6,5,2
exam,A2,4.26,4,2
examination,B1,4.26,11,5
examine,B1,4.18,7,3
examinee,B2,1.74,8,4
examiner,B1,3.52,8,4
example,A1,5.27,7,3
exceed,B2,3.92,6,2
excel,B2,3.73,5,2
excellence,B1,4.07,10,3
excellent,A1,4.73,9,3
except,A2,5.02,6,2
except,A2,5.02,6,2
exception,B2,4.35,9,3
exceptional,B2,4.05,11,4
exceptionally,B2,3.74,13,5
excess,B1,4.21,6,2
excessive,B2,4.12,9,3
exchange,A2,4.85,8,2
exchange,B1,4.85,8,2
exchange rate,B1,4.67,13,3
excited,A1,4.74,7,3
excitedly,B1,3.06,9,4
excitement,B1,4.19,10,3
exciting,A1,4.54,8,3
exclaim,B2,2.82,7,2
exclamation mark,B2,3.09,16,5
exclude,B2,3.78,7,2
exclusion,B2,3.68,9,3
exclusive,B1,4.56,9,3
exclusively,B2,4.24,11,4
excursion,B2,3.33,9,3
excuse,A1,4.56,6,2
excuse,B1,4.56,6,2
execute,B2,3.95,7,3
execution,B2,4.29,9,4
executive,B2,4.87,9,4
executive,B2,4.87,9,4
exercise,A2,4.68,8,3
exercise,A1,4.68,8,3
exhaust,B2,3.81,7,2
exhausted,B1,4.08,9,3
exhausting,B2,3.6,10,3
exhaustion,B2,3.49,10,3
exhibit,B2,4.16,7,3
exhibition,A2,4.37,10,4
exile,B2,3.84,5,2
exist,A2,4.73,5,2
existence,B1,4.55,9,3
existing,B2,4.75,8,3
exit,B1,4.35,4,2
exit,B1,4.35,4,2
exotic,B2,3.91,6,3
expand,B1,4.35,6,2
expansion,B2,4.54,9,3
expect,A2,5.01,6,2
expectation,B2,3.99,11,4
expected,B2,4.96,8,3
expedition,B2,3.99,10,4
expense,B1,4.23,7,2
expensive,A1,4.69,9,3
experience,A2,5.27,10,4
experience,B1,5.27,10,4
experienced,B1,4.63,11,4
experiment,B1,4.38,10,4
experiment,B2,4.38,10,4
expert,B2,4.56,6,2
expert,A2,4.56,6,2
explain,A2,4.89,7,2
explanation,A2,4.44,11,4
explode,B2,3.8,7,2
exploit,B2,3.83,7,2
exploration,B1,4.19,11,4
explore,A2,4.31,7,2
explorer,B2,3.85,8,3
explosion,B1,4.22,9,3
explosive,B2,3.97,9,3
explosive,B2,3.97,9,3
export,B2,4.24,6,2
export,B2,4.24,6,2
expose,B1,3.98,6,2
express,A2,4.68,7,2
express,B1,4.68,7,2
expression,A2,4.55,10,3
expressive,B2,3.43,10,3
exquisite,B2,3.61,9,3
extend,B1,4.34,6,2
extension,B2,4.46,9,3
extensive,B2,4.49,9,3
extensively,B1,3.87,11,4
extent,B1,4.47,6,2
external,B2,4.52,8,3
extinct,B1,3.66,7,2
extinction,B1,3.76,10,3
extra,A2,4.98,5,2
extra,A2,4.98,5,2
extra,B1,4.98,5,2
extract,B2,4.02,7,2
extract,B2,4.02,7,2
extraordinarily,B2,3.42,15,6
extraordinary,B1,4.36,13,6
extreme,B1,4.6,7,2
extreme sports,B1,4.44,14,3
extremely,A2,4.79,9,3
exultant,B2,2.16,8,3
eye,A1,5.02,3,1
eyebrow,B2,3.37,7,2
eyelash,B2,2.84,7,2
eyelid,B2,3.01,6,2
eyesight,B1,3.28,8,2
fabric,B2,4.08,6,2
fabulous,B2,4.08,8,3
face,A1,5.45,4,1
face,A2,5.45,4,1
face to face,B1,5.15,12,3
face-to-face,B1,5.15,12,2
facilitate,B2,3.99,10,4
facilities,B2,4.66,10,4
facility,B1,4.6,8,4
fact,A2,5.41,4,1
factor,B2,4.67,6,2
factory,A1,4.55,7,3
faculty,B2,4.32,7,3
fade,B1,3.86,4,1
fail,A2,4.61,4,1
failure,B1,4.72,7,2
faint,B1,3.78,5,1
faint,B2,3.78,5,1
fair,A1,4.99,4,1
fair,B1,4.99,4,1
fairly,A2,4.5,6,2
fairy,A1,4.08,5,2
faith,B2,4.82,5,1
faithful,B1,4.1,8,2
fake,B1,4.65,4,1
fall,B1,5.13,4,1
fall,A2,5.13,4,1
fallen,B1,4.39,6,2
false,A1,4.63,5,1
falter,B2,2.82,6,2
fame,B2,4.34,4,1
familiar,A2,4.61,8,3
familiarize/familiarise,B2,2.12,23,7
family,A1,5.66,6,3
famous,A1,4.84,6,2
fan,A1,4.92,3,1
fancy,A2,4.35,5,2
fancy,B1,4.35,5,2
fancy,B1,4.35,5,2
fantastic,A2,4.71,9,3
fantastically,B2,3.02,13,4
fantasy,B1,4.52,7,3
far,B2,5.5,3,1
far,A2,5.5,3,1
faraway,B1,2.99,7,3
fare,A2,3.94,4,1
farewell,B1,3.89,8,2
farm,A1,4.75,4,1
farmer,A1,4.15,6,2
farming,B1,4.21,7,2
farmland,B1,3.35,8,2
farther,B1,3.85,7,2
farthest,B1,3.06,8,2
fascinate,B1,2.51,9,3
fascinated,B2,3.6,10,4
fascinating,A2,4.13,11,4
fascination,B2,3.48,11,4
fashion,A2,4.82,7,2
fashionable,B1,3.65,11,4
fast,A1,5.13,4,1
fast,A1,5.13,4,1
fast food,A2,4.94,9,2
fasten,B1,2.98,6,2
fat,A1,4.85,3,1
fat,B2,4.85,3,1
fate,B2,4.36,4,1
father,A1,5.26,6,2
father-in-law,B2,5.05,13,3
fault,A2,4.64,5,1
faulty,B2,3.62,6,2
favor/favour,A2,4.12,12,3
favorable/favourable,B1,3.36,20,4
favorite/favourite,A1,4.42,18,3
favorite/favourite,A1,4.42,18,3
fax,B1,3.63,3,1
fax,B1,3.63,3,1
fear,A2,4.95,4,1
fear,B2,4.95,4,1
fearsome,B2,3.05,8,2
feast,B1,3.95,5,1
feat,B2,3.99,4,1
feather,A2,3.69,7,2
feature,A2,4.82,7,2
feature,B2,4.82,7,2
February,A1,5.03,8,4
fed up,B2,4.5,6,2
federal,B2,5.13,7,3
fee,A2,4.51,3,1
feed,A1,4.67,4,1
feed,B1,4.67,4,1
feedback,B2,4.32,8,2
feel,A2,5.67,4,1
feel,A1,5.67,4,1
feeling,A1,5.13,7,2
fellow,B2,4.76,6,2
fellow,B1,4.76,6,2
female,A2,5.0,6,2
female,B2,5.0,6,2
fence,A2,4.21,5,1
ferry,B1,4.02,5,2
ferryboat,B2,2.02,9,3
festival,A1,4.72,8,3
festive,B1,3.58,7,2
fetch,B1,3.65,5,1
fever,A1,4.22,5,2
feverishly,B1,2.53,10,4
few,A2,5.6,3,1
few,B1,5.6,3,1
fiber/fibre,B2,3.52,11,3
fiction,A2,4.44,7,2
fictional,B2,3.86,9,3
fierce,B2,3.92,6,1
fifteen,A1,4.14,7,2
fifth,B1,4.78,5,1
fifty,A1,4.29,5,2
fight,A1,5.23,5,1
fight,B1,5.23,5,1
fighter,A2,4.32,7,2
fighting,B2,4.92,8,2
figure,A2,5.07,6,2
figure,A2,5.07,6,2
file,A1,4.75,4,1
file,B2,4.75,4,1
filial,B2,2.64,6,3
fill,A1,4.64,4,1
filling,B1,4.19,7,2
film,A2,5.2,4,1
film,B1,5.2,4,1
film-maker,B1,4.18,10,3
filter,B1,4.28,6,2
final,A2,5.28,5,2
final,A2,5.28,5,2
finally,A2,5.17,7,3
finance,B2,4.65,7,2
finance,B1,4.65,7,2
financial,B1,5.08,9,3
financially,B2,3.98,11,4
find,A1,5.76,4,1
finding,B1,4.85,7,2
fine,A1,5.23,4,1
fine,B2,5.23,4,1
fine,B1,5.23,4,1
fine,B2,5.23,4,1
finely,B2,3.52,6,2
finger,B1,4.48,6,2
fingernail,B2,2.73,10,3
finish,A1,4.91,6,2
finish,A1,4.91,6,2
fire,A1,5.3,4,2
fire,B2,5.3,4,2
fire brigade,B2,3.88,12,4
fire station,B1,4.83,12,4
firearm,B2,3.69,7,3
firefighter,B1,3.37,11,3
fireplace,B2,3.54,9,3
firework,B1,2.96,8,2
firm,B1,4.79,4,1
firm,B1,4.79,4,1
firmly,B1,4.0,6,2
firmness,B2,2.8,8,2
first,A1,6.11,5,1
first,A1,6.11,5,1
first floor,B1,4.91,11,2
first lady,B1,4.92,10,3
first language,B2,5.06,14,3
first name,A2,5.49,10,2
first person,B2,5.44,12,3
first-floor,B1,4.91,11,2
firstly,B2,3.73,7,2
fiscal,B2,4.26,6,2
fish,A1,4.9,4,1
fish,B1,4.9,4,1
fisherman,A2,3.49,9,3
fishing,A1,4.47,7,2
fit,A2,4.95,3,1
fit,B2,4.95,3,1
fit,B1,4.95,3,1
fitness,B1,4.39,7,2
five,A1,5.45,4,1
fix,A2,4.75,3,1
fix,B1,4.75,3,1
fixed,B2,4.7,5,1
flag,A1,4.58,4,1
flame,B2,4.07,5,1
flap,B2,3.49,4,1
flat,B1,4.72,4,1
flat,B2,4.72,4,1
flat,A1,4.72,4,1
flavor/flavour,B1,3.56,14,3
flaw,B2,3.6,4,1
flawless,B2,3.6,8,2
flax,B2,3.05,4,1
flea,A2,3.42,4,1
flee,B2,3.81,4,1
fleet,B2,4.33,5,1
flesh,B2,4.2,5,1
flexibility,B2,4.02,11,5
flexible,B2,4.13,8,3
flexibly,B2,2.47,8,3
flight,A2,4.86,6,1
flip,B2,4.2,4,1
float,A2,3.94,5,1
float,B1,3.94,5,1
flock,B1,3.69,5,1
flood,A2,4.34,5,1
flood,B1,4.34,5,1
flour,A2,4.0,5,2
flow,B1,4.68,4,1
flow,B1,4.68,4,1
flower,A1,4.42,6,2
flu,B1,3.96,3,1
fluency,B2,3.02,7,3
fluent,B1,3.52,6,2
fluently,B1,2.91,8,3
fluid,B2,4.22,5,2
flunk,B1,2.17,5,1
flute,B1,3.52,5,1
flutter,B2,3.06,7,2
fly,A1,4.75,3,1
fly,A1,4.75,3,1
focus,B2,5.0,5,2
focus,A1,5.0,5,2
fog,A2,3.9,3,1
foggy,A1,3.19,5,2
fold,B1,4.08,4,1
fold,B1,4.08,4,1
folder,A2,3.74,6,2
folk,B1,4.22,4,1
follow,A2,5.14,6,2
follower,B2,3.56,8,3
following,A1,5.46,9,3
following,B2,5.46,9,3
folly,B2,3.34,5,2
fond,B1,3.89,4,1
fondly,B2,3.2,6,2
fondness,B1,3.14,8,2
food,A1,5.4,4,1
fool,A2,4.29,4,1
fool,B1,4.29,4,1
foolish,B1,3.89,7,2
foolishly,B2,2.96,9,3
foot,B1,4.87,4,1
football,A1,5.11,8,2
footballer,A2,3.69,10,2
footnote,B2,3.17,8,2
for,A2,7.01,3,1
for,A1,7.01,3,1
forbid,A2,3.66,6,2
forbidden,B1,3.96,9,3
force,A2,5.23,5,1
force,B2,5.23,5,1
forcefully,B2,3.26,10,3
forecast,B1,4.09,8,2
foreign,A1,5.08,7,2
foreigner,A1,3.48,9,3
foreman,B2,3.58,7,2
foresee,B2,3.18,7,2
forest,A2,4.7,6,2
forestry,B2,3.69,8,3
forever,A2,4.74,7,3
forget,A1,5.06,6,2
forgive,B1,4.25,7,2
fork,A2,4.03,4,1
form,A1,5.31,4,1
form,B1,5.31,4,1
formal,B1,4.45,6,2
formally,B1,4.01,8,3
format,B1,4.47,6,2
format,B1,4.47,6,2
formation,B2,4.49,9,3
former,B1,5.28,6,2
formerly,B2,4.24,8,3
formidable,B2,3.65,10,4
formula,B1,4.45,7,3
forth,B1,4.4,5,1
forthcoming,B2,3.75,11,3
fortnight,B1,3.41,9,2
fortunate,B1,3.97,9,3
fortunately,A2,3.97,11,4
fortune,A2,4.3,7,2
forty,A1,4.2,5,2
forward,A2,5.12,7,2
foul,B2,4.05,4,1
found,B2,5.68,5,1
foundation,B1,4.81,10,3
fountain,B1,3.91,8,2
four,A1,5.53,4,1
fourteen,A1,3.88,8,2
fox,B2,4.66,3,1
fragment,B1,3.55,8,2
fragrance,B2,3.53,9,2
frame,A2,4.58,5,1
frame,B2,4.58,5,1
frank,A2,4.75,5,1
frankly,B2,4.05,7,2
frantically,B2,3.18,11,4
fraud,B2,4.37,5,1
freak,B2,4.08,5,1
free,A1,5.63,4,1
free,A2,5.63,4,1
free,B2,5.63,4,1
freedom,A2,4.86,7,2
freely,B1,4.07,6,2
freeze,A2,4.11,6,1
freezer,B1,3.66,7,2
freezing,B1,4.05,8,2
frequency,B1,4.36,9,3
frequent,B1,4.27,8,2
frequently,B1,4.56,10,3
fresh,A2,4.83,5,1
freshman,B1,3.98,8,2
fridge,A2,4.02,6,1
fried,A2,4.06,5,1
friend,A1,5.37,6,1
friendliness,B1,2.93,12,3
friendly,B2,4.64,8,2
friendship,A2,4.39,10,2
frigate,B2,3.09,7,2
fright,B1,3.3,6,1
frighten,A2,3.08,8,2
frightened,A2,3.74,10,2
frog,A1,3.89,4,1
from,A1,6.63,4,1
front,A1,5.28,5,1
front,A2,5.28,5,1
frontier,B2,3.97,8,2
frost,B1,3.95,5,1
frozen,B1,4.32,6,2
frugal,B2,3.11,6,2
fruit,A1,4.57,5,1
frustrated,B1,4.08,10,3
frustration,B1,3.97,11,3
fry,A2,3.89,3,1
fry,B1,3.89,3,1
frying pan,B1,3.38,10,3
fuel,B1,4.72,4,2
fulfill/fulfil,B2,3.38,14,4
full,A1,5.54,4,1
full stop,B1,5.23,9,2
full-time,B1,5.47,9,2
full-time,B1,5.47,9,2
fully,A2,4.89,5,2
fume,B2,2.63,4,1
fun,A1,5.3,3,1
fun,A1,5.3,3,1
function,B1,4.78,8,2
function,A2,4.78,8,2
functional,B2,4.24,10,3
functionality,B2,3.7,13,5
fund,B1,4.82,4,1
fund,B1,4.82,4,1
fundamental,B2,4.33,11,4
funeral,B1,4.37,7,3
funk,B2,3.71,4,1
funky,B2,3.63,5,2
funny,A1,5.02,5,2
fur,B1,4.03,3,1
furious,B2,3.98,7,3
furiously,B2,3.19,9,4
furnish,B1,3.14,7,2
furniture,A2,4.29,9,3
furor/furore,B2,2.13,12,2
further,A2,5.31,7,2
further,B1,5.31,7,2
furthermore,B1,4.23,11,3
furthest,B1,3.17,8,2
fuss,B1,3.62,4,1
future,B1,5.33,6,2
future,A1,5.33,6,2
gaiety,B2,2.57,6,2
gain,B1,4.81,4,1
gain,B1,4.81,4,1
gall,B1,3.3,4,1
gallery,A2,4.49,7,3
gallon,B1,3.75,6,2
gambling,B2,4.08,8,3
game,A1,5.72,4,1
gang,B2,4.5,4,1
gangster,B2,3.55,8,2
gap,B1,4.47,3,1
garage,A2,4.25,6,2
garbage,A1,4.18,7,2
garden,A1,4.77,6,2
gardener,B2,3.49,8,3
gardening,B1,3.67,9,3
garlic,A2,3.92,6,2
garment,B1,3.59,7,2
gas,A2,5.01,3,1
gasp,B2,3.45,4,1
gate,A2,4.47,4,1
gateway,B2,3.83,7,2
gather,A2,4.24,6,2
gaudy,B2,2.83,5,2
gay,B1,4.9,3,1
gaze,B2,3.7,4,1
gear,B2,4.46,4,1
gee,B1,3.63,3,1
gender,A2,4.59,6,2
gene,B1,4.36,4,1
general,B1,5.47,7,3
general,B1,5.47,7,3
generalization/generalisation,B2,2.4,29,10
generalize/generalise,B2,2.15,21,7
generally,B1,4.95,9,4
generate,B1,4.22,8,3
generation,A2,4.82,10,4
generosity,B2,3.62,10,5
generous,B1,4.2,8,3
generously,B2,3.29,10,4
genetic,B1,4.34,7,3
genetically,B1,3.66,11,4
genetics,B1,3.84,8,3
genius,B2,4.33,6,2
genre,B2,4.17,5,2
gentle,A2,4.17,6,2
gentleman,B1,4.16,9,3
gently,B2,4.08,6,2
genuine,B2,4.37,7,3
genuinely,B2,4.1,9,4
geographic,B2,3.97,10,4
geography,B1,3.98,9,4
geology,B1,3.76,7,4
germ,B2,3.2,4,1
get,A1,6.28,3,1
getaway,B2,3.51,7,3
ghetto,B2,3.69,6,2
ghost,A1,4.42,5,1
giant,B1,4.62,5,2
gift,A1,4.78,4,1
gifted,B1,3.89,6,2
giggle,B1,3.35,6,2
ginger,B1,3.93,6,2
giraffe,B1,3.32,7,2
girl,A1,5.38,4,1
girlfriend,A1,4.68,10,2
give,A1,5.71,4,1
giveaway,B2,3.55,8,3
given,A2,5.41,5,2
glacis,B2,1.79,6,2
glad,A1,4.9,4,1
glamorous/glamourous,B2,2.02,20,4
glance,B1,3.91,6,1
glance,B1,3.91,6,1
glare,B2,3.36,5,1
glass,A1,4.85,5,1
glasses,A1,4.34,7,2
gleam,B2,2.97,5,1
glee,B2,3.49,4,1
glide,B1,3.33,5,1
glimpse,B1,3.81,7,1
glint,B1,2.65,5,1
global,B1,4.95,6,2
global warming,B2,4.0,14,4
globally,B2,3.82,8,3
globe,A2,4.28,5,1
glocal,B2,1.47,6,2
gloomy,B2,3.39,6,2
glorify,B2,3.05,7,3
glorious,B1,4.08,8,3
glory,B1,4.36,5,2
glove,A2,3.73,5,1
glow,B2,3.91,4,1
go,B1,6.03,2,1
go,A1,6.03,2,1
goal,A1,5.06,4,1
goalkeeper,B1,3.79,10,3
goat,B2,4.02,4,1
god,B2,5.57,3,1
goddess,B1,4.01,7,2
godly,B2,3.26,5,2
gold,A1,5.17,4,1
gold,A2,5.17,4,1
golden,A2,4.67,6,2
golf,A2,4.56,4,1
golfer,B1,3.35,6,2
good,A1,6.12,4,1
good,B2,6.12,4,1
good morning,A1,5.26,12,3
good night,A1,5.49,10,2
good-looking,A2,5.46,12,3
goodness,B1,4.13,8,2
goods,B1,4.6,5,1
goodwill,B2,3.67,8,2
gook,B2,2.29,4,1
gorge,B2,3.4,5,1
gorgeous,B1,4.35,8,2
gorilla,B1,3.62,7,3
gossip,B1,3.88,6,2
gossip,B2,3.88,6,2
govern,B1,3.67,6,2
government,A2,5.57,10,3
governmental,B2,3.85,12,4
governor,B1,4.71,8,3
gown,B1,3.75,4,1
grab,B1,4.52,4,1
grace,A2,4.56,5,1
graceful,B1,3.39,8,2
gracefulness,B2,1.66,12,3
grade,A1,4.8,5,1
grade,B2,4.8,5,1
gradual,B2,3.67,7,3
gradually,A2,4.21,9,4
graduate,B1,4.5,8,3
graduate,A2,4.5,8,3
graduation,B1,4.07,10,4
grain,B2,4.18,5,1
gram/gramme,A2,1.64,11,2
grammar,A1,4.17,7,2
grand,B2,4.91,5,1
grandchild,A2,3.13,10,2
granddad,A2,2.68,8,2
granddaughter,A2,3.6,13,3
grandfather,A1,4.24,11,3
grandma,A1,4.11,7,2
grandmother,A1,4.14,11,3
grandpa,A1,3.8,7,2
grandparent,A1,2.83,11,3
grandson,A2,3.85,8,2
grant,B1,4.67,5,1
grant,B1,4.67,5,1
grape,A1,3.7,5,1
graph,B1,4.05,5,1
graphic,B1,4.23,7,2
graphically,B2,2.98,11,3
graphics,B1,4.19,8,2
grasp,B2,3.97,5,1
grass,A1,4.38,5,1
grateful,A2,4.35,8,2
gratitude,B1,3.92,9,3
grave,B1,4.31,5,1
gravestone,B2,2.66,10,2
gravitation,B2,2.67,11,4
gravy,B1,3.48,5,2
gray/grey,A1,4.16,9,2
gray/grey,A1,4.16,9,2
great,A1,5.88,5,1
greatly,A2,4.33,7,2
greatness,B2,3.71,9,2
greedy,A2,3.75,6,2
green,A1,5.13,5,1
green,A2,5.13,5,1
greenhouse,B1,3.78,10,2
greet,A1,3.73,5,1
greeting,B1,3.68,8,2
grief,B2,4.08,5,1
grieve,B2,3.33,6,1
grill,B1,3.84,5,1
grill,B1,3.84,5,1
grilled,A2,3.71,7,1
grim,B2,3.69,4,1
grin,B2,3.59,4,1
grip,B2,4.11,4,1
grip,B2,4.11,4,1
grocery store,A2,4.01,13,4
groom,B1,3.63,5,1
gross,B2,4.45,5,1
ground,A1,5.15,6,1
ground floor,B1,4.73,12,2
group,A1,5.57,5,1
group,B1,5.57,5,1
grouping,B1,3.46,8,2
grow,A1,4.9,4,1
growing,B2,4.94,7,2
grown-up,B2,4.66,8,2
grown-up,B2,4.66,8,2
growth,B1,5.03,6,1
guarantee,B1,4.44,9,3
guarantee,B2,4.44,9,3
guard,A2,4.73,5,1
guard,B2,4.73,5,1
guerrilla,B2,3.38,9,3
guess,B1,5.17,5,1
guess,A1,5.17,5,1
guest,A1,4.58,5,1
guidance,B1,4.33,8,2
guide,B1,4.75,5,1
guide,B1,4.75,5,1
guidebook,A2,2.95,9,2
guideline,B2,3.25,9,2
guilt,B1,4.13,5,1
guilty,B1,4.61,6,2
guitar,A1,4.48,6,2
guitarist,B1,3.63,9,3
gulp,B2,2.93,4,1
gum,B2,3.94,3,1
gun,A2,4.96,3,1
gunshot,B2,3.49,7,2
guts,B2,3.77,4,1
guy,A1,5.4,3,1
gym,B1,4.43,3,1
gymnastic,B2,2.62,9,3
gymnastics,B1,3.6,10,3
habit,A1,4.24,5,2
habitant,B2,1.37,8,2
habitat,B1,3.98,7,3
had,A1,6.33,3,1
hail,B2,3.92,4,1
hair,A1,5.08,4,1
haircut,A1,3.7,7,2
hairdresser,B1,3.17,11,3
hairdryer,B1,2.43,9,2
hairy,B2,3.8,5,2
half-price,A2,5.01,10,2
half-price,A2,5.01,10,2
hall,A1,4.87,4,1
ham,A2,4.12,3,1
hamburger,A1,3.45,9,3
hammer,B1,4.16,6,2
hammer,B2,4.16,6,2
hand,A1,5.41,4,1
hand,A2,5.41,4,1
handbag,A2,3.42,7,2
handball,B1,3.11,8,2
hand-held,B1,5.02,9,2
handicap,B2,3.61,8,3
handicapped,A2,3.42,11,3
handicraft,B2,2.65,10,3
handkerchief,B1,3.18,12,3
handle,A2,4.79,6,2
handle,B1,4.79,6,2
handout,B2,3.0,7,2
handrail,B2,2.35,8,2
handshake,B1,3.36,9,2
handsome,A1,4.22,8,2
handwriting,B1,3.57,11,3
handy,B1,3.97,5,2
hang,B2,4.6,4,1
hang,B1,4.6,4,1
hanging,B1,4.5,7,2
happen,A1,5.19,6,2
happily,A2,4.11,7,3
happiness,A2,4.44,9,3
happy,A1,5.35,5,2
harbor/harbour,B1,3.76,14,3
hard,A1,5.53,4,1
hard,A1,5.53,4,1
hard drive,B2,4.98,10,2
hardly,A2,4.53,6,2
hardship,B1,3.56,8,2
hardware,B2,4.3,8,2
hard-working,B1,5.19,12,3
harm,B2,4.47,4,1
harm,A2,4.47,4,1
harmful,A2,3.97,7,2
harmless,B2,3.79,8,2
harmony,A2,4.11,7,3
harness,B1,3.67,7,2
harrow,B2,3.08,6,2
harvest,A2,4.03,7,2
has,A1,6.37,3,1
haste,B2,3.37,5,1
hastily,B2,3.3,7,3
hasty,B1,3.29,5,2
hat,A1,4.53,3,1
hatch,B1,3.82,5,1
hatching,B2,3.06,8,2
hate,B1,5.11,4,1
hate,A2,5.11,4,1
hatred,B1,4.05,6,2
haunt,B1,3.54,5,1
haunt,B2,3.54,5,1
haunting,B2,3.52,8,2
have,A1,6.71,4,1
have to,A1,6.63,7,2
haven,B1,4.13,5,2
hay,B2,3.91,3,1
hazard,B1,3.98,6,2
hazardous,B2,3.71,9,3
he,A1,6.69,2,1
head,A1,5.51,4,1
head,A2,5.51,4,1
headache,A1,3.97,8,2
headline,B1,4.03,8,2
headphone,A2,3.3,9,2
headquarters,B2,4.36,12,3
headteacher,A2,2.68,11,3
heal,B1,4.12,4,1
healing,B1,4.23,7,2
health,A1,5.44,6,1
health care,B2,5.2,11,2
healthy,A1,4.8,7,2
heap,B2,3.59,4,1
heap,B2,3.59,4,1
hear,A1,5.23,4,1
hearing,B1,4.82,7,2
heart,A1,5.31,5,1
heart attack,B1,4.89,12,3
heartbreaking,B2,3.57,13,3
hearted,B1,3.77,7,2
heartwarming/heart-warming,B2,3.0,26,6
hearty,B1,3.38,6,2
heat,A2,4.86,4,1
heat,B1,4.86,4,1
heater,B1,3.55,6,2
heating,A2,4.18,7,2
heaven,B1,4.58,6,2
heavenly,B1,3.76,8,3
heavily,A2,4.54,7,3
heavy,A1,4.96,5,2
hedge,B2,3.74,5,1
heel,B1,3.84,4,1
height,B1,4.53,6,1
helicopter,B2,4.13,10,4
hell,B2,5.1,4,1
hello,A1,4.72,5,2
helmet,B1,4.02,6,2
help,A2,5.75,4,1
help,A1,5.75,4,1
helper,B2,3.41,6,2
helpful,A2,4.43,7,2
helpless,B1,3.69,8,2
hemp,B2,3.42,4,1
her,A1,6.3,3,1
her,A1,6.3,3,1
herb,B2,3.77,4,1
herd,B1,3.77,4,1
here,A1,5.97,4,1
heritage,B2,4.36,8,3
hero,A2,4.68,4,2
hers,A1,3.97,4,1
herself,A2,4.78,7,2
hesitate,B1,3.79,8,3
hesitation,B2,3.55,10,4
hi,A1,5.0,2,1
hide,A1,4.54,4,1
high,A1,5.75,4,1
high,A2,5.75,4,1
high school,A2,5.43,11,2
highlight,B2,4.21,9,2
highlight,B1,4.21,9,2
highly,B1,4.89,6,2
high-tech/hi-tech,B2,4.28,17,3
highway,A2,4.49,7,2
hijack,B2,3.11,6,2
hijack,B2,3.11,6,2
hike,A2,3.95,4,1
hiking,A2,3.87,6,2
hilarious,B2,4.27,9,4
hill,A1,4.82,4,1
him,A1,6.11,3,1
himself,A2,5.25,7,2
hint,B2,4.07,4,1
hip,B1,4.46,3,1
hip hop/hip-hop/hiphop,A2,2.61,22,2
hire,B1,4.4,4,2
his,A1,6.51,3,1
his,A1,6.51,3,1
historian,B1,3.9,9,4
historic,B1,4.49,8,3
historical,B1,4.69,10,4
history,A1,5.39,7,3
hit,B1,5.37,3,1
hit,A2,5.37,3,1
HIV,B1,4.17,3,3
hobby,A1,3.94,5,2
hockey,A2,4.42,6,2
hold,A1,5.19,4,1
hold,A2,5.19,4,1
holder,B2,4.21,6,2
hole,A1,4.66,4,1
holiday,A1,4.66,7,3
hollow,B2,3.95,6,2
holocaust,B2,3.89,9,3
holy,B1,4.88,4,2
home,A2,5.81,4,1
home,A1,5.81,4,1
homeless,B1,4.26,8,2
hometown,A1,3.91,8,2
homeward,B2,2.7,8,2
homework,A1,4.13,8,2
hone,B2,3.17,4,1
honest,B1,4.73,6,2
honestly,B1,4.69,8,3
honesty,B1,3.99,7,3
honey,A2,4.37,5,2
honeymoon,B1,3.68,9,3
honor/honour,A2,4.2,12,2
honor/honour,B2,4.2,12,2
honorable/honourable,B2,3.43,20,4
hood,B2,4.21,4,1
hook,B2,4.37,4,1
hook,B2,4.37,4,1
